,class_name,next_class_name
265,android.arch.persistence.room.vo.Dao,androidx.room.vo.Dao
266,android.arch.persistence.room.vo.DaoMethod,androidx.room.vo.DaoMethod
267,android.arch.persistence.room.vo.Database,androidx.room.vo.Database
268,android.arch.persistence.room.vo.DeletionMethod,androidx.room.vo.DeletionMethod
269,android.arch.persistence.room.vo.EmbeddedField,androidx.room.vo.EmbeddedField
270,android.arch.persistence.room.vo.Entity,androidx.room.vo.Entity
271,android.arch.persistence.room.vo.Field,androidx.room.vo.Field
272,android.arch.persistence.room.vo.FieldGetter,androidx.room.vo.FieldGetter
273,android.arch.persistence.room.vo.FieldSetter,androidx.room.vo.FieldSetter
274,android.arch.persistence.room.vo.FieldWithIndex,androidx.room.vo.FieldWithIndex
275,android.arch.persistence.room.vo.ForeignKey,androidx.room.vo.ForeignKey
276,android.arch.persistence.room.vo.ForeignKeyAction,androidx.room.vo.ForeignKeyAction
277,android.arch.persistence.room.vo.HasSchemaIdentity,androidx.room.vo.HasSchemaIdentity
278,android.arch.persistence.room.vo.Index,androidx.room.vo.Index
279,android.arch.persistence.room.vo.InsertionMethod,androidx.room.vo.InsertionMethod
280,android.arch.persistence.room.vo.Pojo,androidx.room.vo.Pojo
281,android.arch.persistence.room.vo.PojoMethod,androidx.room.vo.PojoMethod
282,android.arch.persistence.room.vo.PrimaryKey,androidx.room.vo.PrimaryKey
283,android.arch.persistence.room.vo.QueryMethod,androidx.room.vo.QueryMethod
284,android.arch.persistence.room.vo.QueryParameter,androidx.room.vo.QueryParameter
285,android.arch.persistence.room.vo.RawQueryMethod,androidx.room.vo.RawQueryMethod
286,android.arch.persistence.room.vo.Relation,androidx.room.vo.Relation
287,android.arch.persistence.room.vo.RelationCollector,androidx.room.vo.RelationCollector
288,android.arch.persistence.room.vo.SchemaIdentityKey,androidx.room.vo.SchemaIdentityKey
289,android.arch.persistence.room.vo.ShortcutMethod,androidx.room.vo.ShortcutMethod
290,android.arch.persistence.room.vo.ShortcutQueryParameter,androidx.room.vo.ShortcutQueryParameter
291,android.arch.persistence.room.vo.TransactionMethod,androidx.room.vo.TransactionMethod
292,android.arch.persistence.room.vo.UpdateMethod,androidx.room.vo.UpdateMethod
293,android.arch.persistence.room.vo.Warning,androidx.room.vo.Warning
294,android.arch.persistence.room.writer.ClassWriter,androidx.room.writer.ClassWriter
295,android.arch.persistence.room.writer.DaoWriter,androidx.room.writer.DaoWriter
296,android.arch.persistence.room.writer.DatabaseWriter,androidx.room.writer.DatabaseWriter
297,android.arch.persistence.room.writer.EntityCursorConverterWriter,androidx.room.writer.EntityCursorConverterWriter
298,android.arch.persistence.room.writer.EntityDeleteComparator,androidx.room.writer.EntityDeleteComparator
299,android.arch.persistence.room.writer.EntityDeletionAdapterWriter,androidx.room.writer.EntityDeletionAdapterWriter
300,android.arch.persistence.room.writer.EntityInsertionAdapterWriter,androidx.room.writer.EntityInsertionAdapterWriter
301,android.arch.persistence.room.writer.EntityUpdateAdapterWriter,androidx.room.writer.EntityUpdateAdapterWriter
